-DOCSTART- -X- -X- O
pieces NNS I-NP I-MENU
that WDT B-NP O
were VBD B-VP O
cooked VBN I-VP O
well RB O O
were VBD B-VP O
fatty JJ B-NP O
and CC O O
tasted VBD B-VP O
old JJ B-NP O
- : O O
not RB O O
just RB O O
previously-frozen JJ B-NP O
old JJ I-NP O
, , O O
just RB O O
generally RB O O
OLD NNP B-NP O
, , O O
shrivelled VBD B-VP O
and CC I-VP O
dull NN B-NP O
. . O O

The DT B-NP O
naan JJ I-NP B-MENU
bread NN I-NP I-MENU
I PRP B-NP O
ordered VBD B-VP O
came VBD I-VP O
drenched VBN I-VP O
in IN B-PP O
oil NN B-NP O
! . O O

It PRP B-NP O
was VBD B-VP O
unbelievably RB I-VP O
offputting VBG I-VP O
to TO I-VP O
the DT B-NP O
eye NN I-NP O
. . O O

Service NNP B-NP O
was VBD B-VP O
pretty RB I-VP O
bad JJ B-NP O
. . O O

The DT B-NP O
exception NN I-NP O
was VBD B-VP O
one CD B-NP O
of IN B-PP O
our PRP$ B-NP O
( ( O O
many JJ B-NP O
? . O O
! . O O
) ) O O

servers NNS B-NP O
who WP B-NP O
was VBD B-VP O
unbelievably RB I-VP O
sweet JJ B-NP O
. . O O

The DT B-NP O
other JJ I-NP O
staff NN I-NP O
were VBD B-VP O
aloof JJ B-NP O
and CC O O
really RB O O
, , O O
really RB O O
slow JJ B-NP O
. . O O

It PRP B-NP O
took VBD B-VP O
an DT B-NP O
age NN I-NP O
to TO B-VP O
get VB I-VP O
the DT B-NP O
bill NN I-NP O
. . O O

It PRP B-NP O
really RB O O
is VBZ B-VP O
a DT B-NP O
shame NN I-NP O
, , O O
because IN B-PP O
this DT B-NP O
restaurant NN I-NP O
has VBZ B-VP O
good JJ B-NP O
prices NNS I-NP O
; : O O
almost RB O O
identical JJ B-NP O
to TO B-VP O
places NNS B-NP O
like IN B-PP O
Little NNP B-NP O
India NNP I-NP O
and CC O O
Babur NNP B-NP O
a DT I-NP O
few JJ I-NP O
blocks NNS I-NP O
north RB O O
in IN B-PP O
a DT B-NP O
less-upscale JJ I-NP O
part NN I-NP O
of IN B-PP O
the DT B-NP O
city NN I-NP O
. . O O

Also RB O O
, , O O
the DT B-NP O
sauce NN I-NP B-MENU
in IN B-PP O
my PRP$ B-NP O
Jalfrezi NNP I-NP B-MENU
was VBD B-VP O
one CD B-NP O
of IN B-PP O
the DT B-NP O
nicest JJS I-NP O
I PRP B-NP O
've VBP B-VP O
ever RB I-VP O
tried VBN I-VP O
. . O O

It PRP B-NP O
certainly RB O O
was VBD B-VP O
, , O O
as IN B-PP O
the DT B-NP O
restaurant NN I-NP O
's POS B-NP O
name NN I-NP O
implies NNS I-NP O
, , O O
' '' O O
Aromatic NNP B-NP O
' POS B-NP O
! . O O

But CC O O
with IN B-PP O
that DT B-NP O
undercooked JJ I-NP O
chicken NN I-NP B-MENU
- : O O
never RB O O
again RB O O
. . O O

A DT B-NP O
typical JJ I-NP O
tourist NN I-NP O
trap NN I-NP O
in IN B-PP O
one CD B-NP O
of IN B-PP O
the DT B-NP O
busiest JJS I-NP O
restaurant NN I-NP O
strips NNS I-NP O
in IN B-PP O
Toronto NNP B-NP O
. . O O

Big JJ B-NP O
letdown NN I-NP O
. . O O

Some DT B-NP O
of IN B-PP O
the DT B-NP O
best JJS I-NP O
Indian JJ I-NP O
food NN I-NP O
I PRP B-NP O
've VBP B-VP O
had VBN I-VP O
in IN B-PP O
years NNS B-NP O
. . O O

They PRP B-NP O
made VBD B-VP O
me PRP B-NP O
the DT I-NP O
goat NN I-NP B-MENU
vindaloo NN I-NP I-MENU
without IN B-PP O
any DT B-NP O
butter NN I-NP O
/ NN I-NP O
yogurt NN I-NP O
, , O O
and CC O O
it PRP B-NP O
's VBZ B-VP O
gluten-free JJ B-NP O
. . O O

The DT B-NP O
restaurant NN I-NP O
is VBZ B-VP O
intimate JJ B-NP O
and CC O O
quiet JJ B-NP O
- : O O
- : O O
a DT B-NP O
good JJ I-NP O
place NN I-NP O
for IN B-PP O
a DT B-NP O
date NN I-NP O
or CC O O
a DT B-NP O
family NN I-NP O
dinner NN I-NP O
. . O O

What WP B-NP O
a DT I-NP O
lovely JJ I-NP O
meal NN I-NP O
! . O O

We PRP B-NP O
were VBD B-VP O
in IN B-PP O
town NN B-NP O
visiting NN I-NP O
for IN B-PP O
the DT B-NP O
week NN I-NP O
, , O O
and CC O O
our PRP$ B-NP O
hotel NN I-NP O
concierge NN I-NP O
recommended VBD B-VP O
this DT B-NP O
restaurant NN I-NP O
. . O O

We PRP B-NP O
did VBD B-VP O
not RB I-VP O
make VB I-VP O
a DT B-NP O
reservation NN I-NP O
and CC O O
were VBD B-VP O
seated VBN I-VP O
as RB O O
soon RB O O
as IN B-PP O
we PRP B-NP O
walked VBD B-VP O
in IN B-PP O
the DT B-NP O
door NN I-NP O
. . O O

The DT B-NP O
staff NN I-NP O
were VBD B-VP O
friendly JJ B-NP O
and CC O O
attentive JJ B-NP O
- : O O
our PRP$ B-NP O
glasses NNS I-NP O
were VBD B-VP O
never RB I-VP O
empty VBN I-VP O
. . O O

They PRP B-NP O
answered VBD B-VP O
our PRP$ B-NP O
questions NNS I-NP O
as IN B-PP O
we PRP B-NP O
ordered VBD B-VP O
, , O O
and CC O O
our PRP$ B-NP O
meals NNS I-NP O
arrived VBD B-VP O
quickly RB I-VP O
. . O O

Our PRP$ B-NP O
food NN I-NP O
was VBD B-VP O
seasoned VBN I-VP O
wonderfully RB O O
and CC O O
just RB O O
to TO B-VP O
our PRP$ B-NP O
liking NN I-NP O
. . O O

The DT B-NP O
waiter NN I-NP O
brought VBD B-VP O
the DT B-NP O
bill NN I-NP O
in IN B-PP O
a DT B-NP O
timely JJ I-NP O
manner NN I-NP O
. . O O

For IN B-PP O
two CD B-NP O
of IN B-PP O
us PRP B-NP O
, , O O
our PRP$ B-NP O
bill NN I-NP O
was VBD B-VP O
very RB I-VP O
reasonable JJ B-NP O
( ( O O
less JJR O O
than IN B-PP O
I PRP B-NP O
was VBD B-VP O
expecting VBG I-VP O
) ) O O
. . O O

The DT B-NP O
whole JJ I-NP O
meal NN I-NP O
was VBD B-VP O
wonderful JJ B-NP O
. . O O

I PRP B-NP O
'd MD B-VP O
recommend VB I-VP O
this DT B-NP O
restaurant NN I-NP O
to TO B-VP O
anyone NN B-NP O
! . O O

As IN B-PP O
my PRP$ B-NP O
first JJ I-NP O
yelp NN I-NP O
review NN I-NP O
I PRP B-NP O
felt VBD B-VP O
it PRP B-NP O
appropriate VB B-VP O
to TO I-VP O
write VB I-VP O
about IN B-PP O
my PRP$ B-NP O
favorite JJ I-NP O
Indian JJ I-NP O
restaurant NN I-NP O
in IN B-PP O
the DT B-NP O
city NN I-NP O
. . O O

I PRP B-NP O
've VBP B-VP O
eaten VBN I-VP O
here RB O O
many JJ B-NP O
times NNS I-NP O
for IN B-PP O
both DT B-NP O
lunch NN I-NP O
and CC O O
dinner NN B-NP O
and CC O O
will MD B-VP O
give VB I-VP O
my PRP$ B-NP O
takes VBZ B-VP O
on IN B-PP O
both DT B-NP O
. . O O

Lunch NN B-NP O
: : O O
Lot NNP B-NP O
's POS B-NP O
of IN B-PP O
variety NN B-NP O
, , O O
quick JJ B-NP O
service NN I-NP O
and CC O O
delicious JJ B-NP O
food NN I-NP O
. . O O

As IN B-PP O
a DT B-NP O
regular JJ I-NP O
though IN B-PP O
I PRP B-NP O
can MD B-VP O
see VB I-VP O
the DT B-NP O
food NN I-NP O
quality NN I-NP O
slowly RB O O
going VBG B-VP O
down RP O O
. . O O

For IN B-PP O
example NN B-NP O
, , O O
they PRP B-NP O
used VBD B-VP O
to TO I-VP O
use VB I-VP O
only RB O O
white JJ B-NP O
meat NN I-NP O
in IN B-PP O
their PRP$ B-NP O
chicken NN I-NP B-MENU
dishes NNS I-NP O
but CC O O
now RB O O
it PRP B-NP O
's VBZ B-VP O
mostly RB I-VP O
dark JJ B-NP O
. . O O

Needless NN B-NP O
to TO B-VP O
say VB I-VP O
the DT B-NP O
food NN I-NP O
is VBZ B-VP O
still RB I-VP O
the DT B-NP O
best JJS I-NP O
Indian JJ I-NP O
in IN B-PP O
the DT B-NP O
area NN I-NP O
, , O O
you PRP B-NP O
'll MD B-VP O
leave VB I-VP O
happy JJ B-NP O
and CC O O
make VB B-VP O
sure JJ B-NP O
you PRP B-NP O
do VBP B-VP O
n't RB I-VP O
have VB I-VP O
a DT B-NP O
lot NN I-NP O
planned VBN B-VP O
for IN B-PP O
the DT B-NP O
rest NN I-NP O
of IN B-PP O
the DT B-NP O
day NN I-NP O
because IN B-PP O
you PRP B-NP O
will MD B-VP O
need VB I-VP O
a DT B-NP O
nap NN I-NP O
after IN B-PP O
. . O O

Dinner NN B-NP O
: : O O
This DT B-NP O
is VBZ B-VP O
where WRB O O
Aroma NNP B-NP O
shines NNS I-NP O
. . O O

Do VBP O O
n't RB O O
expect VB B-VP O
to TO I-VP O
come VB I-VP O
here RB O O
and CC O O
get VB B-VP O
bargain NN B-NP O
Indian JJ I-NP O
food NN I-NP O
, , O O
your PRP$ B-NP O
tab NN I-NP O
will MD B-VP O
be VB I-VP O
higher JJR B-NP O
than IN B-PP O
expected VBN B-NP O
but CC O O
trust IN B-PP O
me PRP B-NP O
it PRP B-NP O
's VBZ B-VP O
worth IN B-PP O
it PRP B-NP O
. . O O

To TO B-VP O
me PRP B-NP O
the DT I-NP O
experience NN I-NP O
is VBZ B-VP O
one CD B-NP O
of IN B-PP O
the DT B-NP O
closest JJS I-NP O
to TO B-VP O
actually RB I-VP O
eating VBG I-VP O
in IN B-PP O
India NNP B-NP O
. . O O

The DT B-NP O
food NN I-NP O
is VBZ B-VP O
flavorful JJ B-NP O
with IN B-PP O
just RB B-NP O
the DT I-NP O
right JJ I-NP O
amount NN I-NP O
of IN B-PP O
heat NN B-NP O
to TO B-VP O
not RB I-VP O
be VB I-VP O
overpowering VBG I-VP O
. . O O

Get VB B-VP O
the DT B-NP O
Chicken NNP I-NP B-MENU
Mirch NNP I-NP I-MENU
Tikka NNP I-NP I-MENU
, , O O
your PRP$ B-NP O
life NN I-NP O
will MD B-VP O
change VB I-VP O
for IN B-PP O
the DT B-NP O
better JJR I-NP O
. . O O

I PRP B-NP O
came VBD B-VP O
here RB I-VP O
for IN B-PP O
a DT B-NP O
very RB O O
late JJ B-NP O
lunch NN I-NP O
with IN B-PP O
my PRP$ B-NP O
boyfriend NN I-NP O
after IN B-PP O
checking VBG B-VP O
out RP O O
the DT B-NP O
Hot NNP I-NP O
& CC O O
Spicy NNP B-NP O
festival NN I-NP O
over IN B-PP O
at IN B-PP O
Harbourfront NNP B-NP O
Centre NNP I-NP O
. . O O

Being VBG B-VP O
at IN B-PP O
the DT B-NP O
Hot NNP I-NP O
& CC O O
Spicy NNP B-NP O
festival VBP B-VP O
really RB I-VP O
put VB I-VP O
us PRP B-NP O
in IN B-PP O
the DT B-NP O
mood NN I-NP O
for IN B-PP O
Indian JJ B-NP O
cuisine NN I-NP O
. . O O

We PRP B-NP O
originally RB O O
wanted VBD B-VP O
to TO I-VP O
come VB I-VP O
to TO I-VP O
this DT B-NP O
place NN I-NP O
because IN B-PP O
of IN B-PP O
the DT B-NP O
their PRP$ I-NP O
buffet NN I-NP O
lunch NN I-NP O
. . O O

But CC O O
by IN B-PP O
the DT B-NP O
time NN I-NP O
we PRP B-NP O
got VBD B-VP O
to TO I-VP O
the DT B-NP O
restaurant NN I-NP O
we PRP B-NP O
had VBD B-VP O
missed VBN I-VP O
the DT B-NP O
buffet NN I-NP O
lunch NN I-NP O
time NN I-NP O
and CC O O
they PRP B-NP O
were VBD B-VP O
doing VBG I-VP O
their PRP$ B-NP O
dinner NN I-NP O
service NN I-NP O
. . O O

We PRP B-NP O
ordered VBD B-VP O
two CD B-NP O
dishes NNS I-NP O
, , O O
a DT B-NP O
side NN I-NP O
order NN I-NP O
of IN B-PP O
rice NN B-NP B-MENU
and CC O O
two CD B-NP O
side JJ I-NP O
orders NNS I-NP O
of IN B-PP O
their PRP$ B-NP O
rotis NN I-NP B-MENU
. . O O

I PRP B-NP O
have VBP B-VP O
to TO I-VP O
say VB I-VP O
, , O O
their PRP$ B-NP O
rotis NN I-NP B-MENU
were VBD B-VP O
very RB I-VP O
good JJ B-NP O
. . O O

I PRP B-NP O
probably RB O O
can MD B-VP O
just RB I-VP O
eat VB I-VP O
that IN B-PP O
we PRP B-NP O
my PRP$ I-NP O
meal NN I-NP O
without IN B-PP O
rice NN B-NP B-MENU
. . O O

The DT B-NP O
food NN I-NP O
I PRP B-NP O
thought VBD B-VP O
was VBD I-VP O
very RB O O
good JJ B-NP O
and CC O O
flavorful JJ B-NP O
. . O O

The DT B-NP O
menu NN I-NP O
prices NNS I-NP O
, , O O
I PRP B-NP O
thought VBD B-VP O
, , O O
were VBD B-VP O
average JJ B-NP O
. . O O

However RB O O
, , O O
the DT B-NP O
service NN I-NP O
, , O O
in IN B-PP O
my PRP$ B-NP O
opinion NN I-NP O
, , O O
was VBD B-VP O
okay VBN I-VP O
. . O O

But CC O O
, , O O
I PRP B-NP O
believe VBP B-VP O
it PRP B-NP O
was VBD B-VP O
due JJ B-NP O
to TO B-VP O
not RB I-VP O
having VBG I-VP O
enough JJ B-NP O
servers NNS I-NP O
because IN B-PP O
the DT B-NP O
servers NNS I-NP O
were VBD B-VP O
all DT B-NP O
very RB O O
busy JJ B-NP O
. . O O

But CC O O
, , O O
the DT B-NP O
servers NNS I-NP O
were VBD B-VP O
still RB I-VP O
very RB O O
friendly JJ B-NP O
and CC O O
professional JJ B-NP O
. . O O

I PRP B-NP O
would MD B-VP O
definitely RB I-VP O
come VB I-VP O
back RB O O
for IN B-PP O
more RBR B-NP O
. . O O

The DT B-NP O
food NN I-NP O
from IN B-PP O
Aroma NNP B-NP O
's POS B-NP O
is VBZ B-VP O
consistently RB I-VP O
excellent JJ B-NP O
. . O O

I PRP B-NP O
have VBP B-VP O
dined VBN I-VP O
in IN B-PP O
and CC I-PP O
ordered VBD B-VP O
takeaway NN B-NP O
, , O O
both DT B-NP O
on IN B-PP O
a DT B-NP O
number NN I-NP O
of IN B-PP O
occasions NNS B-NP O
. . O O

I PRP B-NP O
highly RB O O
recommend VBP B-VP O
this DT B-NP O
restaurant NN I-NP O
. . O O

Pretty NNP B-NP O
decent JJ I-NP O
place NN I-NP O
for IN B-PP O
Indian JJ B-NP O
lunch NN I-NP O
buffet NN I-NP O
. . O O

They PRP B-NP O
never RB O O
replaced VBD B-VP O
any DT B-NP O
of IN B-PP O
the DT B-NP O
food NN I-NP O
while IN B-PP O
we PRP B-NP O
were VBD B-VP O
there RB I-VP O
though IN B-PP O
, , O O
and CC O O
the DT B-NP O
service NN I-NP O
is VBZ B-VP O
less JJR B-NP O
than IN B-PP O
friendly RB B-NP O
. . O O

The DT B-NP O
food NN I-NP O
is VBZ B-VP O
decent JJ B-NP O
.6 NNP I-NP O
/ NNP I-NP O
5 CD I-NP O
for IN B-PP O
service NN B-NP O
! . O O

This DT B-NP O
is VBZ B-VP O
not RB I-VP O
our PRP$ B-NP O
first JJ I-NP O
time NN I-NP O
here RB O O
, , O O
but CC O O
tonight NN B-NP O
's POS B-NP O
service NN I-NP O
was VBD B-VP O
exceptionally RB I-VP O
great JJ B-NP O
. . O O

Every DT B-NP O
staff NN I-NP O
member NN I-NP O
we PRP B-NP O
encountered VBD B-VP O
was VBD I-VP O
caring VBG I-VP O
, , O O
professional JJ B-NP O
, , O O
and CC O O
thorough NN B-NP O
. . O O

I PRP B-NP O
do VBP B-VP O
not RB I-VP O
consume VB I-VP O
dairy NN B-NP O
at IN B-PP O
all DT B-NP O
anymore RB O O
and CC O O
mentioned VBD B-VP O
my PRP$ B-NP O
food NN I-NP O
intolerance NN I-NP O
tonight NN I-NP O
. . O O

The DT B-NP O
servers NNS I-NP O
and CC O O
kitchen VB B-VP O
staff NN B-NP O
all DT I-NP O
took VBD B-VP O
it PRP B-NP O
very RB O O
seriously RB O O
, , O O
going VBG B-VP O
as RB I-VP O
far RB O O
as IN B-PP O
to TO B-PP O
note VB B-NP O
it PRP B-NP O
on IN B-PP O
paper NN B-NP O
, , O O
omit VBP B-VP O
dairy NN B-NP O
products NNS I-NP O
from IN B-PP O
products NNS B-NP O
that WDT B-NP O
normally RB O O
have VBP B-VP O
dairy NN B-NP O
( ( O O
i NN B-NP O
. . O O

e NN B-NP O
. . O O
roti NN B-NP B-MENU
, , O O
eggplant JJ B-NP B-MENU
bharta NN I-NP B-MENU
) ) O O
, , O O
and CC O O
warning VBG B-VP O
me PRP B-NP O
before IN B-PP O
every DT B-NP O
course NN I-NP O
which WDT B-NP O
dishes VBZ B-VP O
do VBP I-VP O
still RB O O
contain VB B-VP O
dairy NN B-NP O
since IN B-PP O
my PRP$ B-NP O
partner NN I-NP O
still RB O O
enjoys VBZ B-VP O
it PRP B-NP O
. . O O

Our PRP$ B-NP O
water NN I-NP O
glasses NNS I-NP O
were VBD B-VP O
constantly RB I-VP O
refilled VBN I-VP O
and CC I-VP O
despite IN B-PP O
how WRB O O
busy JJ B-NP O
it PRP B-NP O
was VBD B-VP O
here RB I-VP O
tonight VBN I-VP O
the DT B-NP O
servers NNS I-NP O
never RB O O
forgot VBP B-VP O
about IN B-PP O
us PRP B-NP O
. . O O

Only RB O O
downside NN B-NP O
was VBD B-VP O
that IN B-PP O
food NN B-NP O
was VBD B-VP O
a DT B-NP O
bit NN I-NP O
slow JJ I-NP O
to TO B-VP O
arrive VB I-VP O
at IN B-PP O
our PRP$ B-NP O
table NN I-NP O
, , O O
but CC O O
it PRP B-NP O
has VBZ B-VP O
been VBN I-VP O
a DT B-NP O
busy JJ I-NP O
night NN I-NP O
. . O O

Very RB O O
vegetarian JJ B-NP O
friendly RB O O
, , O O
but CC O O
vegans NNS B-NP O
do VBP B-VP O
make VB I-VP O
sure JJ B-NP O
you PRP B-NP O
tell VBP B-VP O
the DT B-NP O
staff NN I-NP O
in IN B-PP O
advance NN B-NP O
of IN B-PP O
your PRP$ B-NP O
dietary JJ I-NP O
restrictions NNS I-NP O
because IN B-PP O
as IN B-PP O
I PRP B-NP O
learned VBD B-VP O
tonight NN B-NP O
that IN B-PP O
even RB B-NP O
vegan JJ I-NP O
sounding VBG B-VP O
dishes NNS B-NP O
like IN B-PP O
eggplant JJ B-NP B-MENU
bharta NN I-NP I-MENU
, , O O
dal JJ B-NP B-MENU
makhani NN I-NP I-MENU
, , O O
and CC O O
vegetable JJ B-NP B-MENU
samosas NN I-NP I-MENU
contain NN I-NP O
animal JJ I-NP O
products NNS I-NP O
/ JJ I-NP O
dairy NN I-NP O
. . O O

In IN B-PP O
the DT B-NP O
case NN I-NP O
of IN B-PP O
breads NNS B-NP I-MENU
and CC O O
veggie NN B-NP O
dishes NNS I-NP O
, , O O
modifications NNS B-NP O
can MD B-VP O
be VB I-VP O
made VBN I-VP O
to TO I-VP O
exclude VB I-VP O
dairy NN B-NP O
, , O O
but CC O O
in IN B-PP O
the DT B-NP O
case NN I-NP O
of IN B-PP O
vegetable JJ B-NP B-MENU
samosas NN I-NP I-MENU
they PRP B-NP O
ca MD B-VP O
n't RB I-VP O
as IN B-PP O
the DT B-NP O
samosas NN I-NP B-MENU
actually RB O O
come VBN B-VP O
frozen JJ B-NP O
and CC O O
they PRP B-NP O
reheat VBP B-VP O
it PRP B-NP O
- : O O
we PRP B-NP O
do VBP B-VP O
n't RB I-VP O
recommend VB I-VP O
ordering VBG I-VP O
the DT B-NP O
samosas NN I-NP B-MENU
here RB O O
as IN B-PP O
only RB B-NP O
2 CD I-NP O
comes VBZ B-VP O
per IN B-PP O
order NN B-NP O
and CC O O
there EX B-NP O
's VBZ B-VP O
not RB I-VP O
much JJ B-NP O
filling NN I-NP O
. . O O

Complimentary JJ B-NP O
papadum NN I-NP O
to TO B-VP O
start VB I-VP O
along IN B-PP O
with IN B-PP O
2 CD B-NP O
sauces NNS I-NP B-MENU
, , O O
but CC O O
additional JJ B-NP O
sauces NNS I-NP B-MENU
like IN B-PP O
mango NN B-NP B-MENU
chutney NN I-NP I-MENU
must MD B-VP O
be VB I-VP O
ordered VBN I-VP O
individually RB O O
. . O O

Carbs NNP B-NP O
such JJ I-NP O
as IN B-PP O
naan NNS B-NP B-MENU
and CC O O
rice NN B-NP B-MENU
are VBP B-VP O
also RB I-VP O
not RB O O
complimentary JJ B-NP O
, , O O
so IN B-PP O
you PRP B-NP O
must MD B-VP O
order NN B-NP O
these DT I-NP O
additionally RB O O
. . O O

If IN B-PP O
you PRP B-NP O
're VBP B-VP O
looking VBG I-VP O
for IN B-PP O
a DT B-NP O
healthier NN I-NP O
alternative NN I-NP O
to TO B-VP O
naan VB I-VP B-MENU
, , O O
which WDT B-NP O
tends VBZ B-VP O
to TO I-VP O
be VB I-VP O
white JJ B-NP O
flour NN I-NP O
and CC O O
buttery NN B-NP O
, , O O
I PRP B-NP O
recommend VBP B-VP O
ordering VBG I-VP O
the DT B-NP O
roti NN I-NP B-MENU
( ( O O
$ $ B-NP O
2.25 CD I-NP O
) ) O O
, , O O
which WDT B-NP O
is VBZ B-VP O
whole JJ B-NP O
wheat NN I-NP O
, , O O
resembles VBZ B-VP O
a DT B-NP O
naan NN I-NP B-MENU
, , O O
and CC O O
can MD B-VP O
come VB I-VP O
with IN B-PP O
or CC I-PP O
without IN B-PP O
butter NN B-NP O
. . O O

The DT B-NP O
vegetarian JJ I-NP O
mains NNS I-NP O
are VBP B-VP O
quite RB I-VP O
small JJ B-NP O
and CC O O
at IN B-PP O
least JJS O O
$ $ B-NP O
10.95 CD I-NP O
, , O O
so RB O O
I PRP B-NP O
do VBP B-VP O
recommend VB I-VP O
ordering VBG I-VP O
a DT B-NP O
few JJ I-NP O
different JJ I-NP O
mains NNS I-NP O
and CC O O
sharing VBG B-VP O
. . O O

I PRP B-NP O
liked VBD B-VP O
the DT B-NP O
eggplant JJ I-NP B-MENU
bharta NN I-NP I-MENU
, , O O
which WDT B-NP O
was VBD B-VP O
moderately RB I-VP O
spicy JJ B-NP O
, , O O
enough JJ B-NP O
to TO B-VP O
induce VB I-VP O
that DT B-NP O
tingly RB O O
sensation NN B-NP O
. . O O

The DT B-NP O
food NN I-NP O
highlight NN I-NP O
tonight NN I-NP O
was VBD B-VP O
actually RB I-VP O
the DT B-NP O
vegan JJ I-NP B-MENU
Bhel NNP I-NP I-MENU
Chaupati NNP I-NP I-MENU
appetizer NN I-NP O
( ( O O
$ $ B-NP O
5.95 CD I-NP O
) ) O O
, , O O
which WDT B-NP O
is VBZ B-VP O
quite PDT B-NP O
a DT I-NP O
large JJ I-NP O
portion NN I-NP O
though IN B-PP O
not RB B-NP O
that IN B-PP O
filling VBG B-VP O
since IN B-PP O
the DT B-NP O
grains NNS I-NP O
are VBP B-VP O
puffed VBN I-VP O
, , O O
not RB O O
dense NN B-NP O
. . O O

It PRP B-NP O
's VBZ B-VP O
basically RB I-VP O
chaat JJ B-NP B-MENU
- : O O
well RB O O
seasoned JJ B-NP O
semi-sweet NN I-NP O
and CC O O
- : O O
savory NN B-NP O
and CC O O
has VBZ B-VP O
an DT B-NP O
interesting JJ I-NP O
texture NN I-NP O
that WDT B-NP O
's VBZ B-VP O
crunchy NN B-NP O
yet RB O O
a DT B-NP O
bit NN I-NP O
chewy JJ I-NP O
too RB O O
. . O O

No DT B-NP O
outdoor JJ I-NP O
seating NN I-NP O
. . O O

Venue NNP B-NP O
gets VBZ B-VP O
a DT B-NP O
bit NN I-NP O
noisy JJ I-NP O
due JJ I-NP O
to TO B-VP O
all PDT B-NP O
the DT I-NP O
families NNS I-NP O
and CC O O
young JJ B-NP O
children NNS I-NP O
here RB O O
, , O O
but CC O O
nothing NN B-NP O
too RB O O
loud JJ B-NP O
like IN B-PP O
the DT B-NP O
bars NNS I-NP O
across IN B-PP O
the DT B-NP O
street NN I-NP O
. . O O

We PRP B-NP O
did VBD B-VP O
notice RB I-VP O
that IN B-PP O
most JJS O O
of IN B-PP O
the DT B-NP O
clientele NN I-NP O
appear VBP B-VP O
to TO I-VP O
be VB I-VP O
Indian JJ B-NP O
, , O O
so IN B-PP O
that DT B-NP O
can MD B-VP O
only RB I-VP O
be VB I-VP O
a DT B-NP O
good JJ I-NP O
sign NN I-NP O
: : O O
) ) O O
Cheaper NNP B-NP O
, , O O
but CC O O
not RB O O
as RB O O
classy JJ B-NP O
as IN B-PP O
259 CD B-NP O
Host NNP I-NP O
nearby RB O O
, , O O
but CC O O
arguably RB O O
one CD B-NP O
of IN B-PP O
the DT B-NP O
better JJR I-NP O
downtown NN I-NP O
Indian JJ I-NP O
restaurants NNS I-NP O
. . O O

Great NNP B-NP O
for IN B-PP O
groups NNS B-NP O
and CC O O
families NNS B-NP O
, , O O
maybe RB O O
not RB O O
so RB O O
much JJ B-NP O
for IN B-PP O
first JJ B-NP O
dates NNS I-NP O
. . O O

Will MD O O
return VB B-VP O
! . O O

Dishes NNS B-NP O
were VBD B-VP O
good JJ B-NP O
but CC O O
the DT B-NP O
basmati JJ I-NP B-MENU
rice NN I-NP I-MENU
was VBD B-VP O
cold JJ B-NP O
and CC O O
tasted JJ B-NP O
stale NN I-NP O
. . O O
. . O O
how WRB O O
do VBP B-VP O
you PRP B-NP O
screw VB B-VP O
up RP O O
rice NN B-NP B-MENU
at IN B-PP O
an DT B-NP O
Inidian JJ I-NP O
place NN I-NP O
! . O O
! . O O
! . O O
! . O O

Sash NNP B-NP O
pander NN I-NP O
. . O O
. . O O
delicious JJ B-NP O
. . O O

Lamb NNP B-NP B-MENU
Korma NNP I-NP I-MENU
amazing NN I-NP O
. . O O
. . O O
. . O O
okra NN B-NP B-MENU
was VBD B-VP O
really RB I-VP O
good JJ B-NP O
and CC O O
beef NN B-NP B-MENU
was VBD B-VP O
great JJ B-NP O
. . O O

Lost VBN B-VP O
a DT B-NP O
star NN I-NP O
for IN B-PP O
the DT B-NP O
rice NN I-NP B-MENU
. . O O

Even RB O O
the DT B-NP O
naan NN I-NP B-MENU
was VBD B-VP O
tastyGreat JJ B-NP O
buffet NN I-NP O
! . O O

Options NNS B-NP O
are VBP B-VP O
lacking VBG I-VP O
however RB O O
, , O O
but CC O O
all PDT B-NP O
the DT I-NP O
dishes NNS I-NP O
are VBP B-VP O
of IN B-PP O
very RB B-NP O
top JJ I-NP O
quality NN I-NP O
. . O O

Great NNP B-NP O
food NN I-NP O
, , O O
decent NN B-NP O
prices NNS I-NP O
, , O O
nice JJ B-NP O
portions NNS I-NP O
. . O O

I PRP B-NP O
came VBD B-VP O
here RB I-VP O
with IN B-PP O
a DT B-NP O
large JJ I-NP O
group NN I-NP O
of IN B-PP O
friends NNS B-NP O
in IN B-PP O
February NNP B-NP O
and CC O O
had VBD B-VP O
a DT B-NP O
decent JJ I-NP O
meal NN I-NP O
, , O O
aside IN B-PP O
the DT B-NP O
food NN I-NP O
taking VBG B-VP O
a DT B-NP O
long JJ I-NP O
time NN I-NP O
to TO B-VP O
be VB I-VP O
served VBN I-VP O
, , O O
( ( O O
it PRP B-NP O
was VBD B-VP O
a DT B-NP O
group NN I-NP O
of IN B-PP O
20 CD B-NP O
+ JJ I-NP O
people NNS I-NP O
, , O O
so RB O O
thats JJ B-NP O
understandable JJ I-NP O
. . O O
) ) O O

I PRP B-NP O
was VBD B-VP O
full JJ B-NP O
that IN B-PP O
time NN B-NP O
and CC O O
did VBD B-VP O
n't RB I-VP O
get VB I-VP O
the DT B-NP O
chance NN I-NP O
to TO B-VP O
try VB I-VP O
the DT B-NP O
